PubID,PMID
1,1641991
2,8780459
3,9379454
4,9392588
5,11749748
6,11880460
7,12036327
8,12072526
9,12141973
10,12226691
11,12574301
12,12692285
13,14972529
14,14976418
15,15033561
16,15033562
17,15084400
18,15118210
19,15170636
20,15448369
21,15496237
22,15496250
23,15503207
24,15584517
25,15648072
26,15935414
27,16033981
28,16050511
29,16195783
30,16298978
31,16298979
32,16372290
33,16791423
34,16912331
35,17088370
36,17955162
37,18197964
38,19161643
39,19402760
40,19515251
41,19523314
42,19553586
43,19845692
44,19941917
45,20005760
46,20079776
47,20599559
48,20854025
49,21028961
50,21035389
51,21142621
52,21144440
53,21178213
54,21655310
55,21672268
56,21847754
57,22022629
58,22217167
59,22246834
60,22260737
61,22261502
62,22457191
63,22616022
64,22925023
65,23171591
66,23195573
67,23218389
68,23240764
69,23255625
70,23271164
71,23641865
72,23682136
73,23735999
74,23764351
75,23891575
76,23908296
77,23939975
78,24223988
79,24416468
80,24618184
81,24751353
82,24786748
83,24953797
84,25062428
85,25108534
86,25255381
87,25393542
88,25420643
89,25649667
90,25742932
91,25959153
92,26336221
93,26455333
94,26758985
95,26812469
96,26863911
97,26902209
98,27047968
99,27308271
100,27378409
101,27491289
102,27508862
103,27775001
104,27880794
105,27926935
106,28251517
107,28433738
108,28466055
109,28596387
110,28705183
111,28736753
112,28827176
113,28836897
114,28920177
115,29051241
116,29148370
117,29155823
118,29159319
119,29165231
120,29382607
121,29413882
122,29520745
123,29524182
124,29525552
125,29584885
126,30006045
127,30203691
128,30380211
129,30457521
130,30522982
131,31022170
132,31107219
133,31211933
134,31521854
135,31961043
136,32187506
137,32251473
138,32307010
139,32505728
140,32598383
141,32655079
142,32723637
143,32738065
144,33084573
145,33142046
146,33161829
147,33231536
148,33388553
149,33421655
150,33572847
151,33579078
152,33617538
153,33672497
154,33753031
155,33754998
156,33954213
157,34061841
158,34187526
159,34372602
160,34424177
161,34460819
162,34613808
163,34662872
164,34763306
165,35076008
166,35133905
167,35531170
168,35551538
169,35789906
170,36014962
171,36108783
172,36268900
173,36558837
174,36611216
175,36692301
176,36734067
177,36815488
178,37056704
179,37323891
180,37527191
181,37695821
182,37766297
183,37879367
184,38400090
185,38446223
186,38526059
187,39065234
188,39147851
189,12173427
190,25845138
191,25335413
192,24364143
193,16415986
194,11436635
195,12667358
196,17415983
197,28870741
198,24630756
199,26625182
200,30658445
201,21083375
202,26743144
203,28518037
204,23172105
205,36198315
206,32097111
207,22119389
208,29936152
209,28842265
210,27809807
211,24877102
212,21337953
213,36041296
214,27692336
215,20409377
216,22217175
217,37047384
218,16343650
219,8077915
220,28700843
221,12924091
222,20960283
